customerID,gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00017,Female,1,Yes,No,57,Fiber optic,No,One year,Yes,Credit card (automatic),69.08,3958.69,No
CUST-00018,Male,0,No,No,22,DSL,No,Month-to-month,Yes,Bank transfer (automatic),73.29,1436.06,Yes
CUST-00019,Female,0,No,No,50,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),60.61,2890.9,No
CUST-00020,Male,0,No,Yes,55,No,No internet service,Two year,No,Credit card (automatic),18.0,1037.68,No
CUST-00021,Female,0,No,Yes,50,Fiber optic,No,Month-to-month,No,Electronic check,61.6,3155.6,No
CUST-00022,Male,0,No,No,30,DSL,No,Month-to-month,Yes,Electronic check,40.84,1255.56,No
CUST-00023,Male,0,No,No,44,Fiber optic,Yes,One year,Yes,Credit card (automatic),71.97,3109.83,No
CUST-00024,Female,1,No,No,34,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),72.74,2412.37,No
CUST-00025,Female,0,Yes,No,45,Fiber optic,No,Two year,Yes,Bank transfer (automatic),69.7,3162.4,No
CUST-00026,Female,0,No,Yes,33,Fiber optic,Yes,Month-to-month,No,Mailed check,54.89,1661.16,No
CUST-00027,Male,0,No,No,28,Fiber optic,No,Two year,Yes,Electronic check,65.83,1854.24,No
CUST-00028,Female,0,No,No,14,Fiber optic,No,Two year,Yes,Mailed check,69.32,803.83,Yes
CUST-00029,Female,0,Yes,No,28,Fiber optic,No,Month-to-month,Yes,Mailed check,79.9,2110.88,Yes
CUST-00030,Male,0,No,Yes,52,Fiber optic,No,Month-to-month,No,Credit card (automatic),73.39,3837.67,No
CUST-00031,Male,0,No,No,63,Fiber optic,No,One year,Yes,Bank transfer (automatic),83.26,5315.37,No
CUST-00032,Male,0,Yes,Yes,7,Fiber optic,No,One year,Yes,Mailed check,78.12,587.86,No
CUST-00033,Male,0,No,No,13,DSL,Yes,Month-to-month,Yes,Mailed check,35.87,332.57,No
CUST-00034,Female,0,Yes,Yes,37,Fiber optic,No,Month-to-month,No,Credit card (automatic),70.17,2371.77,No
CUST-00035,Female,0,Yes,No,51,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),80.43,4100.93,Yes
CUST-00036,Male,1,Yes,Yes,12,Fiber optic,Yes,One year,Yes,Electronic check,68.84,598.15,Yes
CUST-00037,Female,0,No,No,23,No,No internet service,One year,Yes,Mailed check,23.4,651.53,No
CUST-00038,Female,0,No,No,3,DSL,No,Month-to-month,Yes,Mailed check,61.6,55.04,No
CUST-00039,Male,1,Yes,No,3,No,No internet service,Month-to-month,No,Electronic check,21.71,333.23,Yes
CUST-00040,Female,0,No,No,10,DSL,No,One year,No,Bank transfer (automatic),55.51,439.66,No
CUST-00041,Male,0,Yes,No,53,Fiber optic,No,Two year,Yes,Electronic check,58.4,3150.75,No
CUST-00042,Female,0,Yes,No,63,No,No internet service,Month-to-month,No,Mailed check,24.01,1424.24,Yes
CUST-00043,Female,0,No,No,36,Fiber optic,No,Month-to-month,No,Mailed check,81.02,2896.54,No
CUST-00044,Male,0,No,No,12,No,No internet service,Month-to-month,Yes,Mailed check,18.0,238.08,No
CUST-00045,Male,1,No,No,67,No,No internet service,One year,Yes,Bank transfer (automatic),35.25,2464.99,No
CUST-00046,Female,0,No,No,20,DSL,No,Month-to-month,No,Bank transfer (automatic),48.82,1098.74,Yes
CUST-00047,Male,0,No,No,11,No,No internet service,Month-to-month,No,Electronic check,35.48,477.56,No
CUST-00048,Female,0,Yes,No,10,No,No internet service,One year,Yes,Electronic check,35.73,481.82,No
CUST-00049,Female,0,Yes,Yes,25,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),50.34,1184.57,Yes
CUST-00050,Female,0,Yes,No,53,DSL,Yes,Month-to-month,No,Credit card (automatic),44.24,2422.58,No
CUST-00051,Female,0,No,Yes,28,DSL,No,Month-to-month,Yes,Electronic check,49.31,1339.77,Yes
CUST-00052,Male,0,No,Yes,32,No,No internet service,Month-to-month,Yes,Electronic check,30.23,1085.71,No
CUST-00053,Male,0,No,Yes,24,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,445.87,Yes
CUST-00054,Male,0,Yes,Yes,68,No,No internet service,Month-to-month,No,Electronic check,19.48,1399.07,No
CUST-00055,Male,0,Yes,No,49,Fiber optic,Yes,Month-to-month,No,Credit card (automatic),71.28,3527.7,No
CUST-00056,Male,0,No,No,48,DSL,Yes,Month-to-month,Yes,Credit card (automatic),41.57,2086.61,No
CUST-00057,Female,0,No,Yes,31,Fiber optic,No,Two year,Yes,Electronic check,81.02,2414.7,No
CUST-00058,Male,0,Yes,No,38,Fiber optic,Yes,Two year,Yes,Electronic check,56.52,1959.13,No
CUST-00059,Female,0,Yes,No,64,DSL,No,Month-to-month,No,Credit card (automatic),44.98,2997.4,No
CUST-00060,Female,0,Yes,No,47,DSL,Yes,One year,Yes,Electronic check,42.73,2169.71,No
CUST-00061,Female,0,Yes,No,59,DSL,No,Month-to-month,Yes,Mailed check,57.64,3386.85,No
CUST-00062,Female,0,Yes,No,2,DSL,No,Two year,Yes,Electronic check,49.9,197.13,No
CUST-00063,Male,0,Yes,No,62,Fiber optic,No,Two year,Yes,Bank transfer (automatic),69.1,4088.68,No
CUST-00064,Female,0,No,No,69,Fiber optic,No,One year,Yes,Credit card (automatic),65.21,4424.91,No
CUST-00065,Male,0,Yes,No,48,Fiber optic,Yes,One year,No,Bank transfer (automatic),59.67,2873.99,No
CUST-00066,Male,0,Yes,No,69,Fiber optic,No,Month-to-month,No,Electronic check,72.22,4774.95,Yes
CUST-00067,Female,0,Yes,No,41,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.99,964.05,No
CUST-00068,Male,0,No,No,20,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic),79.81,1615.15,Yes
CUST-00069,Male,0,Yes,No,44,Fiber optic,Yes,Month-to-month,No,Electronic check,85.54,3691.08,No
CUST-00070,Male,0,Yes,No,45,Fiber optic,No,One year,No,Bank transfer (automatic),56.45,2498.65,No
CUST-00071,Female,1,Yes,No,10,Fiber optic,No,Month-to-month,No,Bank transfer (automatic),63.76,588.84,No
CUST-00072,Male,0,No,No,14,Fiber optic,Yes,Month-to-month,No,Electronic check,62.93,726.99,Yes
CUST-00073,Male,0,No,No,21,Fiber optic,No,One year,Yes,Credit card (automatic),68.35,1409.25,Yes
CUST-00074,Male,0,Yes,No,39,Fiber optic,No,One year,Yes,Mailed check,66.64,2597.32,No
CUST-00075,Female,0,Yes,No,10,Fiber optic,Yes,One year,Yes,Electronic check,67.43,604.37,Yes
CUST-00076,Male,0,Yes,No,56,Fiber optic,Yes,Month-to-month,Yes,Electronic check,62.13,3419.1,No
CUST-00077,Male,0,No,No,7,DSL,Yes,Two year,No,Mailed check,39.0,248.52,No
CUST-00078,Male,0,No,No,68,Fiber optic,Yes,Month-to-month,Yes,Electronic check,62.22,4329.33,No
CUST-00079,Female,1,Yes,Yes,49,Fiber optic,No,One year,No,Electronic check,75.38,3682.28,No
CUST-00080,Female,0,Yes,No,24,Fiber optic,No,Month-to-month,No,Credit card (automatic),78.01,1641.08,Yes
CUST-00081,Female,0,No,Yes,27,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),59.95,1475.39,Yes
CUST-00082,Male,1,No,No,50,DSL,No,Two year,No,Electronic check,49.58,2590.82,No
CUST-00083,Male,0,Yes,Yes,6,DSL,Yes,Month-to-month,No,Bank transfer (automatic),52.23,231.11,No
CUST-00084,Female,0,Yes,No,52,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),82.62,4285.62,Yes
CUST-00085,Female,0,Yes,No,40,Fiber optic,No,Month-to-month,No,Mailed check,69.73,3020.19,Yes
CUST-00086,Female,0,No,Yes,16,DSL,Yes,Two year,Yes,Credit card (automatic),56.88,985.9,No
CUST-00087,Male,0,No,No,65,DSL,No,Two year,Yes,Electronic check,26.65,1474.45,No
CUST-00088,Male,0,No,No,45,DSL,Yes,Month-to-month,Yes,Electronic check,39.37,1945.04,No
CUST-00089,Female,0,No,Yes,11,Fiber optic,No,One year,Yes,Electronic check,70.24,790.6,Yes
CUST-00090,Female,0,Yes,No,47,DSL,No,Month-to-month,Yes,Electronic check,42.71,2051.69,Yes
CUST-00091,Male,0,Yes,Yes,30,Fiber optic,No,One year,No,Mailed check,92.95,2825.0,No
CUST-00092,Female,0,Yes,Yes,55,Fiber optic,No,Month-to-month,No,Electronic check,43.67,2511.45,No
CUST-00093,Female,0,No,Yes,35,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,620.43,No
CUST-00094,Male,1,No,No,72,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),62.98,4356.77,No
CUST-00095,Female,0,Yes,No,67,DSL,No,Two year,Yes,Credit card (automatic),43.87,2978.11,No
CUST-00096,Male,0,Yes,No,2,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),91.66,17.5,No
CUST-00097,Male,0,No,No,30,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),81.54,2664.19,No
CUST-00098,Female,0,No,No,14,DSL,No,Two year,Yes,Bank transfer (automatic),32.8,415.74,No
CUST-00099,Female,0,No,No,32,No,No internet service,Month-to-month,No,Mailed check,32.62,1037.63,No
CUST-00100,Male,0,Yes,No,10,Fiber optic,No,Month-to-month,No,Mailed check,81.98,738.68,Yes
CUST-00101,Female,0,No,No,39,DSL,Yes,Month-to-month,Yes,Electronic check,55.34,2198.96,Yes
CUST-00102,Male,1,No,Yes,11,DSL,Yes,Month-to-month,No,Electronic check,21.16,287.28,Yes
CUST-00103,Female,0,No,Yes,45,No,No internet service,Month-to-month,No,Bank transfer (automatic),23.42,972.46,No
CUST-00104,Male,0,No,No,33,No,No internet service,Month-to-month,Yes,Mailed check,20.7,737.47,No
CUST-00105,Female,1,No,No,72,No,No internet service,Month-to-month,Yes,Electronic check,30.99,2239.41,Yes
CUST-00106,Female,1,No,Yes,64,DSL,Yes,Month-to-month,Yes,Electronic check,33.88,2156.82,No
CUST-00107,Female,0,No,No,43,Fiber optic,No,Two year,Yes,Credit card (automatic),68.25,2844.57,No
CUST-00108,Female,0,Yes,No,32,DSL,No,Month-to-month,Yes,Electronic check,63.29,2303.01,No
CUST-00109,Male,0,Yes,Yes,52,Fiber optic,No,One year,Yes,Mailed check,73.79,3979.02,No
CUST-00110,Female,0,No,Yes,48,Fiber optic,Yes,Month-to-month,Yes,Electronic check,79.48,3902.44,No
CUST-00111,Male,0,No,Yes,10,No,No internet service,Month-to-month,Yes,Electronic check,28.8,423.18,Yes
CUST-00112,Female,1,Yes,No,27,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),70.88,1949.75,No
CUST-00113,Female,1,Yes,No,72,Fiber optic,Yes,Month-to-month,Yes,Electronic check,89.91,6431.6,No
CUST-00114,Male,0,No,No,23,DSL,No,One year,Yes,Electronic check,50.37,841.34,No
CUST-00115,Female,0,No,Yes,0,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),71.34,0.0,Yes
CUST-00116,Female,1,No,No,60,DSL,Yes,One year,Yes,Mailed check,40.97,2718.0,No
CUST-00117,Male,1,Yes,Yes,68,No,No internet service,Two year,Yes,Bank transfer (automatic),25.5,1873.22,No
CUST-00118,Male,0,No,No,47,DSL,Yes,Month-to-month,No,Bank transfer (automatic),32.38,1546.14,No
CUST-00119,Male,0,No,No,46,Fiber optic,Yes,Two year,Yes,Electronic check,72.13,3128.68,Yes
CUST-00120,Male,1,Yes,No,25,DSL,No,Month-to-month,No,Mailed check,43.32,1159.17,No
CUST-00121,Male,0,Yes,No,26,Fiber optic,Yes,Month-to-month,No,Mailed check,69.28,1767.91,No
CUST-00122,Female,0,No,No,66,DSL,Yes,Month-to-month,Yes,Electronic check,38.31,2612.21,No
CUST-00123,Female,1,Yes,Yes,62,Fiber optic,No,Two year,Yes,Electronic check,71.29,4286.55,No
CUST-00124,Male,1,No,No,36,Fiber optic,No,One year,No,Bank transfer (automatic),73.61,2591.17,No
CUST-00125,Female,1,No,Yes,22,Fiber optic,No,Two year,Yes,Electronic check,87.89,2039.79,Yes
CUST-00126,Female,0,No,No,13,No,No internet service,One year,No,Electronic check,28.83,606.13,No
CUST-00127,Male,0,Yes,No,0,DSL,No,Month-to-month,No,Bank transfer (automatic),43.89,0.0,No
CUST-00128,Female,0,No,No,35,Fiber optic,No,Two year,Yes,Mailed check,63.85,2114.8,No
CUST-00129,Female,0,Yes,Yes,40,No,No internet service,Two year,Yes,Bank transfer (automatic),21.35,976.75,No
CUST-00130,Female,0,No,No,49,DSL,Yes,One year,No,Electronic check,48.31,2216.0,No
CUST-00131,Female,0,Yes,No,58,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.97,1131.7,No
CUST-00132,Female,0,No,No,26,No,No internet service,Two year,Yes,Credit card (automatic),32.31,871.97,No
CUST-00133,Male,0,No,No,12,No,No internet service,Month-to-month,No,Mailed check,18.0,466.28,No
CUST-00134,Female,0,Yes,Yes,61,Fiber optic,No,Two year,Yes,Credit card (automatic),84.35,5043.5,No
CUST-00135,Female,0,Yes,No,55,Fiber optic,No,Two year,No,Mailed check,77.86,4237.93,No
CUST-00136,Male,0,No,Yes,38,Fiber optic,No,One year,No,Electronic check,53.7,2053.96,No
CUST-00137,Female,0,Yes,Yes,2,Fiber optic,Yes,Month-to-month,Yes,Mailed check,55.16,53.59,Yes
CUST-00138,Male,0,Yes,No,34,No,No internet service,Month-to-month,Yes,Mailed check,18.0,399.98,No
CUST-00139,Male,1,Yes,No,45,DSL,Yes,Two year,Yes,Credit card (automatic),49.91,2342.18,No
CUST-00140,Male,0,No,Yes,62,Fiber optic,No,Two year,No,Electronic check,67.18,4187.52,No
CUST-00141,Female,0,No,No,37,Fiber optic,No,One year,Yes,Electronic check,68.15,2565.57,No
CUST-00142,Male,0,Yes,No,33,DSL,No,Two year,Yes,Credit card (automatic),24.6,794.8,No
CUST-00143,Male,0,No,No,27,Fiber optic,No,Month-to-month,No,Electronic check,52.62,1602.32,Yes
CUST-00144,Male,0,Yes,Yes,30,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),70.66,2059.26,No
CUST-00145,Female,0,Yes,No,1,Fiber optic,No,Month-to-month,Yes,Electronic check,77.04,0.0,Yes
CUST-00146,Female,0,Yes,Yes,7,No,No internet service,Month-to-month,No,Credit card (automatic),18.0,325.64,No
CUST-00147,Male,0,Yes,Yes,55,Fiber optic,Yes,Month-to-month,Yes,Electronic check,52.6,2629.17,No
CUST-00148,Male,0,Yes,No,26,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.0,709.54,Yes
CUST-00149,Female,0,No,No,62,Fiber optic,No,Month-to-month,Yes,Mailed check,67.27,4161.68,Yes
CUST-00150,Male,0,Yes,Yes,28,No,No internet service,One year,Yes,Credit card (automatic),18.0,490.25,No
CUST-00151,Female,0,No,Yes,72,DSL,No,Month-to-month,Yes,Credit card (automatic),42.05,2841.45,No
CUST-00152,Male,0,Yes,No,13,Fiber optic,No,One year,Yes,Credit card (automatic),74.02,820.05,No
CUST-00153,Female,1,Yes,No,13,No,No internet service,Month-to-month,No,Electronic check,18.0,348.96,Yes
CUST-00154,Male,0,Yes,No,42,DSL,Yes,Two year,Yes,Mailed check,41.26,1899.16,No
CUST-00155,Male,0,No,No,58,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),80.27,4605.58,Yes
CUST-00156,Female,0,No,Yes,10,Fiber optic,Yes,One year,No,Bank transfer (automatic),84.53,733.62,No
CUST-00157,Male,0,Yes,No,36,Fiber optic,Yes,One year,Yes,Credit card (automatic),65.56,2145.99,No
CUST-00158,Female,0,Yes,No,16,No,No internet service,Month-to-month,No,Credit card (automatic),20.39,439.11,No
CUST-00159,Female,0,Yes,No,53,Fiber optic,No,Month-to-month,Yes,Electronic check,69.78,3818.3,Yes
CUST-00160,Female,1,No,Yes,40,No,No internet service,Month-to-month,Yes,Electronic check,18.0,382.7,No
CUST-00161,Female,0,Yes,No,47,Fiber optic,Yes,Month-to-month,Yes,Electronic check,68.33,2920.64,No
CUST-00162,Female,0,No,No,19,Fiber optic,Yes,Month-to-month,Yes,Bank transfer (automatic),68.09,1310.13,No
CUST-00163,Male,1,Yes,No,21,No,No internet service,Month-to-month,No,Mailed check,18.0,409.94,No
CUST-00164,Male,0,Yes,No,46,Fiber optic,Yes,One year,No,Electronic check,80.76,3657.68,No
CUST-00165,Male,0,No,No,25,DSL,Yes,Month-to-month,Yes,Bank transfer (automatic),40.38,1005.55,No
CUST-00166,Female,0,Yes,Yes,50,Fiber optic,No,Month-to-month,Yes,Electronic check,61.24,3032.33,No
CUST-00167,Male,0,Yes,No,11,Fiber optic,Yes,Month-to-month,Yes,Mailed check,74.38,821.35,Yes
CUST-00168,Male,0,No,Yes,21,Fiber optic,No,Month-to-month,Yes,Mailed check,76.72,1503.01,Yes
CUST-00169,Male,0,Yes,No,7,Fiber optic,No,Month-to-month,Yes,Mailed check,65.53,457.24,Yes
CUST-00170,Male,1,Yes,No,6,Fiber optic,No,One year,Yes,Electronic check,66.45,317.78,No
CUST-00171,Male,0,Yes,No,19,No,No internet service,One year,Yes,Bank transfer (automatic),18.0,251.07,No
CUST-00172,Male,0,No,No,35,DSL,No,Month-to-month,Yes,Credit card (automatic),39.48,1157.77,Yes
CUST-00173,Female,0,No,Yes,10,Fiber optic,Yes,Month-to-month,No,Bank transfer (automatic),65.99,638.84,No
CUST-00174,Female,0,Yes,No,6,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),60.21,457.62,Yes
CUST-00175,Female,0,No,No,64,DSL,Yes,One year,Yes,Electronic check,50.6,3199.33,No
CUST-00176,Male,0,No,No,37,Fiber optic,No,Month-to-month,Yes,Electronic check,75.61,2755.15,Yes
CUST-00177,Female,0,No,No,52,Fiber optic,Yes,Two year,No,Electronic check,54.03,2960.25,Yes
CUST-00178,Male,0,No,No,53,No,No internet service,One year,No,Bank transfer (automatic),18.0,1077.0,No
CUST-00179,Female,0,No,No,7,Fiber optic,Yes,One year,Yes,Electronic check,77.73,752.26,No
CUST-00180,Female,0,No,No,45,DSL,No,Month-to-month,No,Credit card (automatic),30.94,1663.15,No
CUST-00181,Female,0,Yes,No,62,Fiber optic,No,Two year,No,Bank transfer (automatic),46.88,2913.7,No
CUST-00182,Male,0,Yes,Yes,32,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.85,464.34,No
CUST-00183,Male,0,No,Yes,62,Fiber optic,No,Month-to-month,Yes,Mailed check,68.68,4195.62,No
CUST-00184,Female,0,Yes,No,69,DSL,Yes,Two year,No,Bank transfer (automatic),42.11,2974.35,No
CUST-00185,Male,0,No,No,39,No,No internet service,One year,Yes,Mailed check,18.0,874.81,No
CUST-00186,Male,0,Yes,No,7,DSL,Yes,Month-to-month,Yes,Mailed check,46.16,197.26,No
CUST-00187,Male,0,No,Yes,45,DSL,No,Month-to-month,Yes,Bank transfer (automatic),49.81,2272.08,Yes
CUST-00188,Male,0,Yes,Yes,64,Fiber optic,No,Month-to-month,Yes,Electronic check,84.39,5305.82,Yes
CUST-00189,Male,0,No,No,42,Fiber optic,No,One year,No,Credit card (automatic),79.56,3323.92,Yes
CUST-00190,Male,0,Yes,No,58,No,No internet service,Month-to-month,No,Bank transfer (automatic),31.09,1783.83,No
CUST-00191,Female,0,Yes,Yes,39,DSL,No,Month-to-month,No,Bank transfer (automatic),55.26,2200.88,Yes
CUST-00192,Female,0,No,Yes,30,Fiber optic,No,Month-to-month,No,Electronic check,77.66,2573.68,Yes
CUST-00193,Female,0,No,Yes,69,Fiber optic,Yes,Two year,No,Electronic check,66.21,4625.5,No
CUST-00194,Male,0,No,No,11,No,No internet service,Month-to-month,Yes,Electronic check,30.37,282.49,Yes
CUST-00195,Female,0,No,No,32,No,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,504.62,No
CUST-00196,Male,1,Yes,No,11,Fiber optic,No,Two year,Yes,Electronic check,75.27,805.07,Yes
CUST-00197,Male,0,No,Yes,47,DSL,Yes,Month-to-month,Yes,Credit card (automatic),49.45,2219.55,No
CUST-00198,Male,1,Yes,No,67,DSL,No,One year,No,Credit card (automatic),49.06,3303.78,No
CUST-00199,Male,0,No,No,72,No,No internet service,One year,No,Electronic check,18.0,1006.65,Yes
CUST-00200,Female,1,Yes,Yes,17,Fiber optic,No,Month-to-month,Yes,Bank transfer (automatic),83.96,1401.98,No
CUST-00201,Male,1,Yes,Yes,53,Fiber optic,Yes,One year,Yes,Electronic check,63.82,3366.62,No
CUST-00202,Female,0,No,No,63,No,No internet service,Two year,Yes,Mailed check,30.36,1773.4,No
CUST-00203,Male,0,No,No,60,No,No internet service,Month-to-month,No,Electronic check,18.86,1085.74,No
CUST-00204,Female,1,Yes,No,36,Fiber optic,No,Month-to-month,Yes,Credit card (automatic),75.95,2868.59,No
CUST-00205,Male,1,No,No,12,No,No internet service,Two year,Yes,Credit card (automatic),18.0,359.05,No
CUST-00206,Male,1,No,No,33,DSL,No,Month-to-month,Yes,Electronic check,35.14,1095.64,Yes
CUST-00207,Female,0,Yes,No,56,Fiber optic,Yes,Month-to-month,No,Electronic check,60.32,3440.74,No
CUST-00208,Female,0,No,No,45,No,No internet service,Month-to-month,No,Mailed check,27.64,1063.98,No
CUST-00209,Male,1,Yes,Yes,28,DSL,No,Two year,No,Mailed check,30.2,810.06,No
CUST-00210,Female,0,Yes,No,15,DSL,Yes,One year,No,Electronic check,32.84,520.3,No
CUST-00211,Male,0,No,Yes,47,Fiber optic,No,Two year,Yes,Credit card (automatic),65.57,3265.02,No
CUST-00212,Female,0,Yes,No,31,Fiber optic,Yes,Month-to-month,Yes,Credit card (automatic),57.08,1912.62,No
CUST-00213,Female,0,Yes,No,34,DSL,Yes,Two year,Yes,Mailed check,64.3,2211.27,No
CUST-00214,Male,0,No,No,68,DSL,Yes,Month-to-month,Yes,Credit card (automatic),64.48,4275.26,No
CUST-00215,Female,0,Yes,No,0,DSL,No,One year,No,Bank transfer (automatic),45.83,163.02,Yes
CUST-00216,Male,0,No,Yes,17,DSL,No,One year,Yes,Bank transfer (automatic),40.91,654.64,No
CUST-00217,Male,0,No,No,67,No,No internet service,Month-to-month,No,Credit card (automatic),38.43,2628.63,No
CUST-00218,Male,1,Yes,No,67,Fiber optic,No,One year,Yes,Mailed check,84.99,5679.63,No
CUST-00219,Male,0,No,No,22,Fiber optic,No,Month-to-month,Yes,Mailed check,62.05,1604.17,Yes
CUST-00220,Female,0,Yes,No,72,DSL,Yes,Month-to-month,No,Electronic check,53.59,3785.27,No
CUST-00221,Male,0,No,No,15,Fiber optic,Yes,One year,Yes,Bank transfer (automatic),63.2,1057.95,Yes
CUST-00222,Male,1,Yes,No,3,DSL,Yes,Month-to-month,Yes,Electronic check,32.42,86.89,No
CUST-00223,Female,0,No,No,22,No,No internet service,One year,No,Electronic check,18.0,464.29,No
CUST-00224,Male,0,Yes,Yes,38,No,No internet service,Month-to-month,Yes,Mailed check,27.67,1245.86,No
CUST-00225,Female,0,No,Yes,0,Fiber optic,No,Month-to-month,Yes,Mailed check,65.31,0.0,Yes
CUST-00226,Male,0,Yes,Yes,12,No,No internet service,One year,Yes,Electronic check,18.0,208.15,Yes
CUST-00227,Female,0,Yes,Yes,57,DSL,No,Month-to-month,No,Electronic check,52.15,2865.26,Yes
CUST-00228,Female,1,Yes,No,45,DSL,Yes,Two year,Yes,Credit card (automatic),41.68,1929.09,Yes
CUST-00229,Female,0,No,No,44,Fiber optic,Yes,Two year,Yes,Bank transfer (automatic),74.59,3364.92,No
CUST-00230,Male,0,No,No,72,Fiber optic,Yes,Month-to-month,Yes,Mailed check,72.34,5152.02,No
CUST-00231,Male,1,Yes,No,16,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,225.35,No
CUST-00232,Female,0,Yes,No,65,DSL,Yes,Month-to-month,No,Credit card (automatic),54.38,3559.16,No
CUST-00233,Male,1,Yes,No,25,Fiber optic,Yes,One year,Yes,Electronic check,77.89,1794.47,Yes
CUST-00234,Female,0,Yes,No,67,DSL,Yes,Month-to-month,No,Bank transfer (automatic),41.22,2801.73,No
CUST-00235,Male,0,No,No,57,DSL,No,Two year,No,Electronic check,44.14,2417.85,No
CUST-00236,Female,1,No,No,15,Fiber optic,No,Two year,Yes,Mailed check,54.74,909.14,No
CUST-00237,Female,0,No,Yes,15,No,No internet service,Month-to-month,No,Bank transfer (automatic),19.35,132.1,No
CUST-00238,Male,0,Yes,No,39,Fiber optic,No,One year,No,Electronic check,72.61,2763.72,No
CUST-00239,Male,1,Yes,Yes,36,Fiber optic,Yes,Month-to-month,No,Mailed check,66.53,2304.94,No
CUST-00240,Female,0,No,No,17,DSL,No,Month-to-month,No,Electronic check,21.66,332.44,No
CUST-00241,Male,0,Yes,No,19,DSL,Yes,Month-to-month,Yes,Mailed check,53.6,1183.56,No
CUST-00242,Female,0,No,Yes,65,DSL,No,One year,Yes,Electronic check,50.01,3352.17,No
CUST-00243,Male,0,Yes,Yes,55,No,No internet service,Month-to-month,Yes,Credit card (automatic),35.81,1911.99,No
CUST-00244,Female,0,Yes,No,13,DSL,Yes,Two year,No,Mailed check,58.82,706.99,No
CUST-00245,Female,0,No,No,52,DSL,No,Month-to-month,Yes,Electronic check,53.08,2866.4,No
CUST-00246,Male,0,Yes,No,11,Fiber optic,No,One year,No,Bank transfer (automatic),80.02,740.55,Yes
CUST-00247,Female,0,No,No,32,Fiber optic,No,Two year,No,Electronic check,65.29,2091.97,Yes
CUST-00248,Male,0,Yes,No,0,Fiber optic,No,One year,Yes,Bank transfer (automatic),60.87,0.0,Yes
